occId,term,scientificName
python,Pythoninae,organism
mamba,Dendroaspis,organism
quince,Cydonia oblonga,organism
duiker,Cephalophinae,organism
ostrich,Struthio,organism
peach,Prunus persica,organism
jay,Garrulus,organism
centipede,Scolopendra,organism
hornbill,Bucerotidae,organism
thrush,Turdus falcklandii,organism
robin,Erithacus,organism
ewe,Ovis aries,organism
adder,Bitis,organism
noddy,Anous,organism
congo,Cinnyris congensis,organism
toros,Isothrix,organism
nightjar,Caprimulgidae,organism
cockroach,Periplaneta,organism
pioneer,Belenois aurota,organism
fisher,Martes pennanti,organism
rifleman,Acanthisitta chloris,organism
beira,Dorcatragus megalotis,organism
donkey,Equus asinus,organism
teak,Tectona,organism
tomato,Lycopersicum esculentum,organism
miners,Geositta,organism
lime,Tilia,organism
plumbago,Plumbago,organism
plum,Prunus domestica,organism
pelican,Pelecanus,organism
partridge,Perdix perdix,organism
klipspringer,Oreotragus oreotragus,organism
birds,Aves,organism
flicker,Colaptes,organism
calabash,Crescentia cujete,organism
gemsbok,Oryx gazella,organism
arrowhead,Sagittaria cuneata,organism
tortoiseshell,Nymphalis,organism
melon,Cucurbitaceae,organism
stork,Ciconia,organism
flamingo,Phoenicopterus,organism
jacana,Jacanidae,organism
teal,Anas crecca,organism
onion,Allium cepa,organism
sandpiper,Calidris,organism
avocet,Recurvirostra,organism
francolin,Francolinus,organism
wildebeest,Connochaetes,organism
breda,Breda,organism
bully,Sideroxylon,organism
banjo,Aspredo aspredo,organism
cinnamon,Cinnamomum,organism
coyote,Canis latrans,organism
coot,Fulica,organism
tarantula,Theraphosidae,organism
cobra,Naja,organism
roundhead,Plesiopidae,organism
impala,Aepyceros melampus,organism
windmill,Allionia,organism
kinglet,Regulus,organism
baobab,Adansonia,organism
mink,Neovison,organism
heather,Calluna vulgaris,organism
gorse,Ulex europaeus,organism
tit,Paridae,organism
duffer,Faunis,organism
basil,Ocimum,organism
clove,Syzygium aromaticum,organism
matchwood,Schefflera morototoni,organism
cactus,Cactaceae,organism
gibbon,Hylobatidae,organism
columbine,Aquilegia,organism
sharpshooter,Proconiini,organism
millet,Panicoideae,organism
apricot,Prunus armeniaca,organism
geranium,Pelargonium,organism
herring,Herklotsichthys,organism
glassy,Ambassis,organism
fig,Ficus,organism
hoopoe,Upupa epops,organism
sunflower,Helianthus annuus,organism
scorpion,Scorpiones,organism
wormwood,Artemisia absinthium,organism
grasshopper,Acrididae,organism
bumper,Chloroscombrus,organism
edith,Nesophontes edithae,organism
sesame,Sesamum (ICBN),organism
caraway,Carum carvi,organism
harebell,Mertensia maritima,organism
trembler,Cinclocerthia,organism
crab,Pthirus,organism
barley,Hordeum,organism
buttercup,Ranunculus,organism
lavender,Lavandula angustifolia,organism
asparagus,Asparagus,organism
hazel,Corylus,organism
dipper,Cinclidae,organism
oyster,Ostreidae,organism
meerkat,Suricata suricatta suricatta,organism
beak,Bilateria,body
cicada,Cicadidae,organism
damsel,Pomachromis richardsoni,organism
thrasher,Toxostoma,organism
banyan,Ficus benghalensis,organism
citron,Citrus medica,organism
bulbul,Pycnonotus,organism
sable,Martes zibellina,organism
lotus,Nelumbo,organism
sycamore,Acer pseudoplatanus,organism
cherry,Prunus,organism
sorghum,Sorghum bicolor,organism
beet,Beta vulgaris,organism
sedge,Scirpus,organism
sole,Paraplagusia,organism
etc,Psoroptidia,organism
lentil,Lens culinaris,organism
morula,Sclerocarya birrea,organism
mouse,Mus,organism
mammal,Mammalia,organism
cucumber,Cucumis sativus,organism
pumpkin,Cucurbita,organism
squash,Lagenaria,organism
termite,Isoptera,organism
bullfrog,Lithobates catesbeiana,organism
mangrove,Conocarpus,organism
buzzard,Buteo,organism
puma,Puma concolor,organism
dewdrop,Leucojum vernum,organism
marula,Sclerocarya birrea,organism
alligators,Alligatoridae,organism
amanita,Amanita,organism
bullfinch,Pyrrhula,organism
bulrush,Typha orientalis,organism
wheatear,Oenanthe (Muscicapidae),organism
rook,Corvus frugilegus,organism
jackdaw,Coloeus,organism
birch,Betula,organism
bulldog,Marcusenius macrolepidotus,organism
cuttlefish,Sepia,organism
tamarisk,Tamarix,organism
toad,Bufo,organism
mackerel,Scombridae,organism
hyacinth,Hyacinthus,organism
grouse,Lagopus,organism
banksia,Banksia,organism
emu,Dromaius novaehollandiae novaehollandiae,organism
minnow,Xenopoecilus,organism
thrift,Armeria maritima,organism
foxglove,Digitalis,organism
carnation,Dianthus caryophyllus,organism
loon,Gavia,organism
garibaldi,Stegastinae,organism
nettle,Urtica,organism
turnip,Brassica rapa,organism
harrier,Circus,organism
booby,Sula,organism
bunting,Emberiza,organism
viper,Viperidae,organism
hop,Humulus lupulus,organism
stubble,Calicium,organism
boa,Boidae,organism
tansy,Tanacetum vulgare,organism
beetroot,Beta vulgaris,organism
angelica,Angelica,organism
chard,Beta vulgaris,organism
dill,Anethum,organism
otter,Lutra,organism
holly,Ilex,organism
mistletoe,Phoradendron,organism
coney,Cephalopholis fulva,organism
gimlet,Eucalyptus salubris,organism
pine,Pinus,organism
sorrel,Rumex,organism
barberry,Berberis,organism
pug,Eupithecia,organism
hollyhock,Alcea,organism
singleton,Una,organism
comma,Polygonia c-album,organism
mammoth,Mammuthus,organism
nance,Byrsonima crassifolia,organism
alpaca,Vicugna pacos,organism
cockleshell,Lecideaceae,organism
friars,Atherina,organism
mendoza,Mendoza,organism
zuniga,Zuniga,organism
toro,Isothrix,organism
courser,Cursorius,organism
padilla,Padilla,organism
mitre,Mitrinae,organism
palms,Arecaceae,organism
mulberry,Morus (Moraceae),organism
melic,Melica,organism
beaver,Castor,organism
calamus,Acorus calamus,organism
shad,Alosa,organism
spruce,Picea,organism
wren,Xenicus,organism
demoiselle,Chromis dispila,organism
woodpecker,Picidae,organism
allen,Bassaricyon alleni,organism
molly,Poecilia gillii,organism
garlic,Allium,organism
savory,Satureja,organism
goldenrod,Solidago virgaurea,organism
aster,Symphyotrichum,organism
pansy,Junonia,organism
truffle,Tuber,organism
canvasback,Aythya valisineria,organism
peanut,Arachis hypogaea,organism
hemp,Cannabis sativa,organism
skate,Bathyraja,organism
yate,Eucalyptus cornuta,organism
hai,Sesbania tomentosa,organism
oat,Avena sativa,organism
rye,Secale cereale,organism
gar,Lepisosteidae,organism
timothy,Phleum,organism
raja,Charaxes,organism
parakeet,Enicognathus ferrugineus,organism
cockatoo,Cacatuidae,organism
nighthawk,Chordeiles,organism
coconut,Cocos,organism
ringlet,Aphantopus hyperantus,organism
faun,Faunis,organism
breadfruit,Artocarpus,organism
sugarcane,Saccharum,organism
catfish,Pterobunocephalus,organism
barbel,Barbus barbus,organism
ramp,Allium tricoccum,organism
tick,Ixodida,organism
shrimp,Caridea,organism
barb,Laubuca,organism
gregory,Stegastinae,organism
dragonfly,Anisoptera,organism
gladiator,Mantophasmatidae,organism
stilt,Himantopus,organism
ginger,Zingiber officinale,organism
eggplant,Solanum melongena,organism
talon,Amniota,body
jellyfish,Scyphozoa,organism
butternut,Juglans cinerea,organism
pawpaw,Asimina,organism
anchovy,Stolephorus,organism
ironwood,Olneya tesota,organism
benzoin,Styrax benzoin,organism
grapevine,Vitis,organism
wildcat,Felis silvestris,organism
lorikeet,Trichoglossus,organism
jester,Symbrenthia,organism
boxwood,Buxus sempervirens,organism
siren,Hestina persimilis,organism
samphire,Crithmum maritimum,organism
pasha,Herona marathus,organism
palmetto,Sabal,organism
osprey,Pandion,organism
pennant,Celithemis,organism
burros,Pomadasys,organism
burro,Pomadasys,organism
moccasin,Agkistrodon,organism
wader,Charadrii,organism
moose,Alces americanus,organism
moccasins,Agkistrodon,organism
fitch,Mustela putorius,organism
pennyroyal,Mentha pulegium,organism
flies,Diptera,organism
balsam,Myroxylon,organism
flapjack,Kalanchoe thyrsiflora,organism
buckwheat,Fagopyrum,organism
nutmeg,Myristica fragrans,organism
florida,Roystonea regia,organism
watermelon,Citrullus lanatus,organism
holywood,Guaiacum sanctum,organism
chaffinch,Fringillinae,organism
hawthorn,Rhaphiolepis,organism
daisy,Bellis,organism
merlin,Falco columbarius,organism
sleepers,Eleotridae,organism
cockle,Cardiidae,organism
redbreast,Papilio (Menelaides) alcmenor,organism
peony,Paeonia,organism
swan,Labiostrombus epidromis,organism
cowslip,Primula veris,organism
juniper,Juniperus,organism
brimstone,Gonepteryx rhamni,organism
bonito,Sarda,organism
llama,Lama glama,organism
senorita,Oxyjulis californica,organism
cornflower,Centaurea cyanus,organism
biddy,Cordulegastridae,organism
mourners,Rhytipterna,organism
poppy,Papaver,organism
daffodil,Narcissus,organism
amaranth,Amaranthus,organism
cypress,Chamaecyparis,organism
silvery,Autographa gamma,organism
elfin,Callophrys,organism
rosemary,Rosmarinus officinalis,organism
ruff,Gymnocephalus cernua,organism
haddock,Melanogrammus aeglefinus,organism
wisteria,Wisteria,organism
grapefruit,Citrus paradisi,organism
cory,Corydoras,organism
bumblebee,Bombus ardens,organism
turtle,Testudines,organism
peppermint,Mentha × piperita,organism
marshmallow,Althaea officinalis,organism
feline,Felinae,organism
dogwood,Jacksonia scoparia,organism
chipmunk,Tamias,organism
bears,Ursidae,organism
blueberry,Vaccinium myrtillus,organism
rhubarb,Rheum rhabarbarum,organism
rowan,Sorbus,organism
goa,Procapra picticaudata,organism
henna,Lawsonia inermis,organism
cisco,Coregonus artedi,organism
jordan,Karusasaurus jordani,organism
cicely,Myrrhis odorata,organism
membrane,Hylaeus,organism
glowworm,Lampyris,organism
anthrax,Bacillus anthracis,organism
virus,Virus,organism
ormer,Haliotis tuberculata,organism
silkworm,Bombyx mori,organism
char,Salvelinus,organism
brome,Bromus,organism
jamaica,Aristelliger praesignis praesignis,organism
dunbar,Cosmia trapezina,organism
hemlock,Conium maculatum,organism
brier,Erica arborea,organism
pomfret,Pampus,organism
tench,Tinca tinca,organism
willet,Tringa semipalmata,organism
saratoga,Scleropages leichardti,organism
elk,Alces alces,organism
speedwell,Veronica,organism
whiting,Merlangius merlangus,organism
gentian,Gentiana,organism
cougar,Puma concolor,organism
petunia,Petunia × atkinsiana,organism
goldfish,Carassius auratus,organism
rosewood,Vauquelinia,organism
scallop,Pectinidae,organism
tung,Vernicia,organism
raccoon,Procyon lotor,organism
woodchuck,Marmota monax,organism
insects,Insecta,organism
plants,Plantae,organism
animals,Animalia,organism
tulip,Tulipa,organism
darter,Anhingidae,organism
commodores,Junonia,organism
oleander,Nerium,organism
conch,Strombus,organism
shoofly,Caesalpinia decapetala,organism
takin,Budorcas taxicolor,organism
fungus,Fungi,organism
louse,Phthiraptera,organism
molokai,Moho bishopi,organism
maui,Myadestes oahensis,organism
kauai,Moho braccatus,organism
mullet,Mugil,organism
pigeons,Columba,organism
millets,Panicoideae,organism
sichel,Pelecus cultratus,organism
chamois,Rupicapra,organism
yellowhammer,Emberiza citrinella,organism
croaker,Sciaenidae,organism
cono,Conophytum,organism
titus,Cyrilla racemiflora,organism
chicory,Cichorium intybus,organism
elderberry,Sambucus,organism
groundsel,Senecio vulgaris,organism
walrus,Odobenus rosmarus,organism
nasturtium,Tropaeolum,organism
bluebell,Hyacinthoides,organism
yak,Bos grunniens,organism
dahlia,Dahlia (Asteraceae),organism
dormouse,Gliridae,organism
patchouli,Pogostemon cablin,organism
cassowary,Casuarius,organism
primrose,Primula farinosa,organism
pineapple,Ananas comosus,organism
horsehair,Bryoria cervinula,organism
mayfly,Ephemeroptera,organism
robins,Erithacus,organism
primavera,Tabebuia donnell-smithii,organism
